d	d	1
d_bar	d~	-1
u	u	2
u_bar	u~	-2
s	s	3
s_bar	s~	-3
c	c	4
c_bar	c~	-4
b	b	5
b_bar	b~	-5
t	t	6
t_bar	t~	-6
e_minus	e-	11
e_plus	e+	-11
nu_e	nu(e)	12
nu_e_bar	nu(e)~	-12
mu_minus	mu-	13
mu_plus	mu+	-13
nu_mu	nu(mu)	14
nu_mu_bar	nu(mu)~	-14
tau_minus	tau-	15
tau_plus	tau+	-15
nu_tau	nu(tau)	16
nu_tau_bar	nu(tau)~	-16
taup_minus	tau'-	17
taup_plus	tau'+	-17
nu_taup	nu(tau')	18
nu_taup_bar	nu(tau')~	-18
g	g	21
gamma	gamma	22
Z_0	Z0	23
W_plus	W+	24
W_minus	W-	-24
H_0	H0	25
pi_0	pi0	111
rho_770_0	rho(770)0	113
a_2_1320_0	a(2)(1320)0	115
rho_3_1690_0	rho(3)(1690)0	117
a_4_1970_0	a(4)(1970)0	119
K_L_0	K(L)0	130
pi_plus	pi+	211
pi_minus	pi-	-211
rho_770_plus	rho(770)+	213
rho_770_minus	rho(770)-	-213
a_2_1320_plus	a(2)(1320)+	215
a_2_1320_minus	a(2)(1320)-	-215
rho_3_1690_plus	rho(3)(1690)+	217
rho_3_1690_minus	rho(3)(1690)-	-217
a_4_1970_plus	a(4)(1970)+	219
a_4_1970_minus	a(4)(1970)-	-219
eta	eta	221
omega_782	omega(782)	223
f_2_1270	f(2)(1270)	225
omega_3_1670	omega(3)(1670)	227
f_4_2050	f(4)(2050)	229
K_S_0	K(S)0	310
K_0	K0	311
K_0_bar	K~0	-311
Kst_892_0	K*(892)0	313
Kst_892_0_bar	K*(892)~0	-313
K_2st_1430_0	K(2)*(1430)0	315
K_2st_1430_0_bar	K(2)*(1430)~0	-315
K_3st_1780_0	K(3)*(1780)0	317
K_3st_1780_0_bar	K(3)*(1780)~0	-317
K_4st_2045_0	K(4)*(2045)0	319
K_4st_2045_0_bar	K(4)*(2045)~0	-319
K_plus	K+	321
K_minus	K-	-321
