# c_e/f_a |Umu4|^2
9.93668172e-4 1.19087938e-6
1.00000000e-3 2.62609447e-9
1.19845212e-3 1.93523579e-9
1.62567783e-3 1.20105633e-9
2.01756524e-3 8.85024980e-10
2.44886880e-3 6.90550182e-10
2.80721620e-3 5.87121123e-10
3.75986640e-3 4.28463111e-10
4.69595729e-3 3.43986390e-10
5.79106742e-3 2.86901107e-10
7.90553079e-3 2.17496642e-10
9.14911972e-3 1.93939429e-10
1.01923860e-2 1.77962175e-10
1.20226443e-2 1.57175991e-10
1.42719317e-2 1.40144782e-10
1.64646205e-2 1.28589982e-10
1.87544118e-2 1.21412260e-10
2.12949126e-2 1.16841378e-10
2.42564693e-2 1.15702232e-10
2.67661685e-2 1.20172472e-10
2.56021161e-2 1.16796856e-10
2.77177913e-2 1.24831827e-10
2.86122311e-2 1.30914106e-10
2.96294874e-2 1.38606194e-10
3.04886315e-2 1.61422420e-10
3.03919538e-2 1.86224009e-10
3.00082991e-2 2.18973679e-10
2.95355340e-2 2.50228756e-10
2.85215034e-2 3.02780031e-10
2.71083727e-2 3.80612664e-10
2.53593391e-2 5.01814450e-10
2.41028815e-2 6.01463826e-10
2.20520148e-2 8.00621684e-10
2.03042152e-2 1.04559528e-9
1.85176643e-2 1.36555263e-9
1.72132180e-2 1.68425778e-9
1.57986759e-2 2.13763666e-9
1.33087703e-2 3.41072427e-9
1.20226443e-2 4.49715577e-9
1.04215192e-2 6.58542171e-9
9.26609080e-3 8.85044366e-9
8.58604388e-3 1.06085059e-8
7.32533661e-3 1.56838284e-8
6.11233145e-3 2.45526008e-8
4.84749357e-3 4.26880018e-8
3.90592714e-3 7.07636500e-8
2.80721620e-3 1.50315431e-7
1.77123368e-3 4.17038338e-7
1.16468075e-3 9.74604781e-7
6.76619995e-3 2.48612765e-10
9.87376436e-4 1.44089424e-6
