# c_e/f_a |Umu4|^2
9.93668172e-4 1.1e-6
9.93668172e-4 1.19087938e-6
1.00637218e-3 4.18854570e-9
1.06882240e-3 3.75461358e-9
1.11964272e-3 9.30340837e-7
1.12629816e-3 3.43456343e-9
1.17381917e-3 8.45007367e-7
1.18673793e-3 3.15013322e-9
1.25718242e-3 2.86113254e-9
1.31977455e-3 2.64912843e-9
1.38622295e-3 2.44890490e-9
1.43978237e-3 5.52053713e-7
1.46913623e-3 2.23709764e-9
1.52524753e-3 4.88328565e-7
1.54739504e-3 2.06120934e-9
1.63295837e-3 1.90312891e-9
1.64714425e-3 4.16652008e-7
1.73377407e-3 1.74857371e-9
1.74911591e-3 3.65907810e-7
1.81330461e-3 1.64252962e-9
1.93122593e-3 1.50261563e-9
1.93638854e-3 2.91872601e-7
2.02521327e-3 2.66379534e-7
2.03496864e-3 1.40132870e-9
2.15001643e-3 1.30372578e-9
2.17135901e-3 2.27283904e-7
2.26793281e-3 1.22072134e-9
2.31689070e-3 1.96744090e-7
2.38848731e-3 1.14209028e-9
2.48607509e-3 1.68676957e-7
2.51652471e-3 1.07590829e-9
2.64421553e-3 1.47423108e-7
2.64512329e-3 1.01363600e-9
2.78440006e-3 9.55752038e-10
2.79445327e-3 1.30406283e-7
2.95890917e-3 8.94315200e-10
3.12268902e-3 8.43974181e-10
3.14108335e-3 9.93757468e-8
3.29637022e-3 7.97871035e-10
3.41528764e-3 8.18851602e-8
3.46904469e-3 7.57042086e-10
3.65734910e-3 7.18299773e-10
3.68675839e-3 6.86184376e-8
3.85587493e-3 6.20260948e-8
3.85772827e-3 6.83596914e-10
4.05737060e-3 6.49892781e-10
4.21773666e-3 4.99552107e-8
4.28841545e-3 6.18512486e-10
4.52468945e-3 5.89073989e-10
4.58409251e-3 4.08181934e-8
4.78669749e-3 5.60757889e-10
4.90310016e-3 3.47023229e-8
5.04113973e-3 5.35832746e-10
5.14446634e-3 3.08079779e-8
5.32329960e-3 5.12273694e-10
5.61195581e-3 4.89595272e-10
5.71812142e-3 2.34520521e-8
5.90112118e-3 4.70478623e-10
6.02850874e-3 2.05826336e-8
6.24673918e-3 4.49574631e-10
6.34218463e-3 1.81078310e-8
6.56055121e-3 4.32991623e-10
6.68787513e-3 1.58416842e-8
6.97771136e-3 4.12992452e-10
7.07465958e-3 1.37231933e-8
7.31932050e-3 3.98744034e-10
7.44078217e-3 1.19827823e-8
7.72125963e-3 3.83202886e-10
7.85222081e-3 1.04609653e-8
8.14037998e-3 3.69864070e-10
8.29039289e-3 9.03775407e-9
8.58912702e-3 3.56617478e-10
8.72781530e-3 7.85955066e-9
9.07956344e-3 3.43954151e-10
9.13548553e-3 6.95817005e-9
9.70104660e-3 5.91667111e-9
9.70104660e-3 3.30623977e-10
1.02276325e-2 5.11842863e-9
1.02276325e-2 3.20771622e-10
1.07828021e-2 4.39607851e-9
1.07828021e-2 3.12029658e-10
1.13681071e-2 3.78558122e-9
1.13681071e-2 3.04522043e-10
1.19851832e-2 3.24069703e-9
1.19851832e-2 2.97584813e-10
1.26357551e-2 2.76879333e-9
1.26357551e-2 2.92142599e-10
1.32896714e-2 2.37961157e-9
1.33216409e-2 2.87364269e-10
1.39438855e-2 2.03338407e-9
1.40447574e-2 2.85082298e-10
1.46303048e-2 1.74003845e-9
1.48071257e-2 2.83746596e-10
1.53136762e-2 1.49140669e-9
1.56108764e-2 2.85206779e-10
1.59905009e-2 1.27871753e-9
1.64582558e-2 2.90075839e-10
1.66571693e-2 1.09592642e-9
1.73099914e-2 9.36828071e-10
1.73516321e-2 3.01674888e-10
1.79452299e-2 7.98360314e-10
1.82935020e-2 3.23974946e-10
1.85145961e-2 6.77627075e-10
1.89648331e-2 5.77881413e-10
1.90104547e-2 3.63931105e-10
1.92402139e-2 4.99383821e-10
1.93328932e-2 4.23087457e-10
