# mS/MeV Selection efficiency (%) | Oberved limit on θ (10−4)| Expected limits on θ (10−4) | −2σ | −1σ | median | +1σ | +2σ |
1.023 0.3 0.1 1800 1600 1600 2100 3100 4200
3 0.4 0.1 70 63 68 73 87 120
9 0.4 0.1 38 34 36 39 47 66
27 0.9 0.1 18 16 17 19 22 34
54 2.8 0.3 9.5 8.8 9.3 10 12 18
81 8.5 0.5 5.7 5.3 5.6 6.1 7.1 11
100 11.2 0.6 4.6 4.3 4.5 4.9 5.7 8.9
110 13.1 0.8 4.3 4.0 4.2 4.5 5.3 8.2
120 14.0 0.8 4.0 3.7 3.9 4.2 4.9 7.6
130 14.6 0.9 3.8 3.5 3.7 4.0 4.7 7.3
140 17.0 1.0 3.7 3.4 3.6 3.9 4.5 7.1
150 15.1 0.9 3.5 3.3 3.4 3.7 4.3 6.7
160 14.9 0.9 3.4 3.2 3.3 3.6 4.2 6.5
170 14.4 0.8 3.3 3.1 3.2 3.5 4.1 6.4
180 13.3 0.8 3.3 3.1 3.2 3.5 4.1 6.4
190 11.8 0.7 3.3 3.1 3.2 3.5 4.1 6.3
200 9.8 0.6 3.3 3.1 3.3 3.5 4.1 6.4
210 9.6 0.6 3.5 3.3 3.4 3.7 4.3 6.7
