140 4.60467988575e-07 7.29889631184e-07
150 2.35384057512e-07 5.4405535591e-07
160 1.17619724641e-07 3.81453483391e-07
170 6.9090766603e-08 2.84887209357e-07
180 4.34977484924e-08 2.13262080096e-07
190 3.00754747615e-08 1.53471244202e-07
200 2.17544537649e-08 1.13631616105e-07
210 1.60911871325e-08 9.07861286136e-08
220 1.27849703802e-08 7.0440695154e-08
230 1.11313329493e-08 5.2926880844e-08
240 8.11729346828e-09 4.15394923901e-08
250 6.60254586786e-09 1.54633669313e-08
260 5.49054200206e-09 8.8928294319e-09
270 4.74360305291e-09 6.06747414257e-09
280 4.02621799041e-09 4.52732777968e-09
290 3.42960381318e-09 3.53781426858e-09
300 3.00621097276e-09 2.76343651789e-09
310 2.71062712483e-09 2.28572408003e-09
320 2.43125730036e-09 1.84737520147e-09
330 1.970217928e-09 1.55380678764e-09
340 1.84018282691e-09 1.31802476948e-09
350 1.63264927905e-09 1.1005976396e-09
360 1.38744533941e-09 9.60219309857e-10
370 1.23747346319e-09 8.74800103392e-10
380 1.20640064951e-09 8.13962586503e-10
390 1.05824444266e-09 1
400 9.9833063121e-10 1
410 9.61834352668e-10 1
420 9.11575547881e-10 1
430 8.99170590004e-10 1
440 8.91822501496e-10 1
450 9.68684126866e-10 1
460 9.83061767123e-10 1
470 1.14163523074e-09 1
480 1.42947874511e-09 1
490 2.48656579412e-09 1
